date,location,red_fighter,blue_fighter,red_record,blue_record
"September 09, 2023","Sydney, New South Wales, Australia",Tyson Pedro,Anton Turkalj, 9-4-0, 8-2-0
"September 09, 2023","Sydney, New South Wales, Australia",Jamie Mullarkey,John Makdessi, 16-6-0, 18-8-0
"September 09, 2023","Sydney, New South Wales, Australia",Tai Tuivasa,Alexander Volkov, 15-5-0, 36-10-0
"September 09, 2023","Sydney, New South Wales, Australia",Carlos Ulberg,Da Woon Jung, 9-1-0, 15-4-1
"September 09, 2023","Sydney, New South Wales, Australia",Kevin Jousset,Kiefer Crosbie, 8-2-0, 10-3-0
"September 09, 2023","Sydney, New South Wales, Australia",Jack Jenkins,Chepe Mariscal, 12-2-0, 14-6-1
"September 09, 2023","Sydney, New South Wales, Australia",Israel Adesanya,Sean Strickland, 24-2-0, 27-5-0
"September 09, 2023","Sydney, New South Wales, Australia",Shane Young,Gabriel Miranda, 13-7-0, 16-6-0
"September 09, 2023","Sydney, New South Wales, Australia",Blood Diamond,Charlie Radtke, 3-2-0, 7-3-0
"September 09, 2023","Sydney, New South Wales, Australia",Nasrat Haqparast,Landon Quinones, 14-5-0, 7-1-1
"September 09, 2023","Sydney, New South Wales, Australia",Justin Tafa,Austen Lane, 6-3-0 (1 NC), 12-3-0 (1 NC)
"September 09, 2023","Sydney, New South Wales, Australia",Manel Kape,Felipe dos Santos, 18-6-0, 7-0-0 (1 NC)
